order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,discounted_price,total_sales,total_cost,profit,order_year,order_month,order_Month_Year,first_purchase_date_x,customer_type,first_purchase_date_y,first_purchase_date
1,2023-03-01,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,240,260,2,2,254.8,509.6,480,29.6,2023,3,2023-03,2022-03-29,Returning,2022-03-29,2022-01-01
2,2023-08-15,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,600,730,3,3,708.1,2124.3,1800,324.3,2023,8,2023-08,2022-03-29,Returning,2022-03-29,2022-01-01
3,2023-01-10,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,10,10,2,5,9.5,19,20,-1,2023,1,2023-01,2022-01-01,Returning,2022-01-01,2022-01-01
4,2022-06-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,780,960,5,2,940.8,4704,3900,804,2022,6,2022-06,2022-04-27,Returning,2022-04-27,2022-01-01
5,2022-07-13,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,20,20,2,5,19,38,40,-2,2022,7,2022-07,2022-04-27,Returning,2022-04-27,2022-01-01
6,2022-03-13,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,FUR-FU-10001487,50,50,7,3,48.5,339.5,350,-10.5,2022,3,2022-03,2022-01-01,Returning,2022-01-01,2022-01-01
7,2022-12-28,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,10,10,4,3,9.7,38.8,40,-1.2,2022,12,2022-12,2022-01-01,Returning,2022-01-01,2022-01-01
8,2022-01-25,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,860,910,6,5,864.5,5187,5160,27,2022,1,2022-01,2022-01-01,Returning,2022-01-01,2022-01-01
9,2023-03-23,Not Available,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,OFF-BI-10003910,20,20,3,2,19.6,58.8,60,-1.2,2023,3,2023-03,2022-01-01,Returning,2022-01-01,2022-01-01
10,2023-05-16,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,90,110,5,3,106.7,533.5,450,83.5,2023,5,2023-05,2022-01-01,Returning,2022-01-01,2022-01-01
11,2023-03-31,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,FUR-TA-10001539,1470,1710,9,3,1658.7,14928.3,13230,1698.3,2023,3,2023-03,2022-01-01,Returning,2022-01-01,2022-01-01
12,2023-12-25,Not Available,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002033,750,910,4,3,882.7,3530.8,3000,530.8,2023,12,2023-12,2022-01-01,Returning,2022-01-01,2022-01-01
13,2022-02-11,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,20,20,3,3,19.4,58.2,60,-1.8,2022,2,2022-02,2022-02-11,Returning,2022-02-11,2022-01-01
14,2023-07-18,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,360,410,3,2,401.8,1205.4,1080,125.4,2023,7,2023-07,2022-01-01,Returning,2022-01-01,2022-01-01
15,2023-11-09,unknown,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,60,70,5,5,66.5,332.5,300,32.5,2023,11,2023-11,2022-01-20,Returning,2022-01-20,2022-01-02
16,2022-06-18,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0,0,3,5,0,0,0,0,2022,6,2022-06,2022-01-20,Returning,2022-01-20,2022-01-02
17,2022-02-04,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610,670,6,3,649.9,3899.4,3660,239.4,2022,2,2022-02,2022-02-04,Returning,2022-02-04,2022-01-02
18,2023-08-04,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60,60,2,4,57.6,115.2,120,-4.8,2023,8,2023-08,2022-02-23,Returning,2022-02-23,2022-01-01
